Product name,Positioning,Form,Product Group,# Trials (Master),Poultry,Ruminants,Swine,Aquaculture,Bee,Primary Main Challenge,Secondary Main Challenges,Specific Challenges (from merged master),Core Benefit,Non-Focus Benefits,Website Solution Labels,Website Product URL,Field-Trial Challenge Tags,Field-Trial Species Tags,Mapping Confidence,Review / Validation Note
42 Degree,Growth,LIQUID,Health,3,Yes,,Yes,,,Stress & Recovery,Heat Stress & Dehydration · Feed Intake & Appetite · Mortality & Livability,Heat stress · High body temperature · Dehydration,Anti-inflammatory · Hydration · Temperature-stress recovery,Electrolyte support · Appetite · Metabolism · Post-vaccination recovery,Quick Recovery · Heat Stress,https://xvetgermany.com/product/42-degree,antibiotic-reduction · calf-piglet-start · fcr-weight-gain · heat-stress · mortality · respiratory-pressure · vaccine-reaction,broiler · swine,High,"Primary positioning revised: Stress & Recovery. Anti-inflammatory is treated as a Core Benefit / technical positioning, not a Main Challenge. Heat stress remains a secondary application challenge."
Novosol,Growth,LIQUID,Health,2,Yes,,Yes,,,Gut Health & Digestion,Growth & Feed Efficiency · Antibiotic Reduction / NAGP · Mortality & Livability,Gut damage · Poor intestinal integrity · Poor performance,Gut protection · Intestinal mucosa support · NAGP,Nutrient absorption · FCR · Weight gain · Antioxidant support,Gut Health · NAGP,https://xvetgermany.com/product/novosol,antibiotic-reduction · fcr-weight-gain · gut-health · mortality,broiler,High,
Metavolin Herbal,Growth,LIQUID,Health,,Yes,Yes,,,,Liver & Metabolic Health,Stress & Recovery,Liver stress · Fatty liver pressure · Metabolic overload,Liver support · Detoxification · Fat metabolism,Antioxidant support · Recovery · General metabolism,Liver Support,https://xvetgermany.com/product/metavolin-herbal,egg-performance · eggshell-quality · liver-kidney-stress,layer,High,
E-Hydrolyte + C,Growth,WSP,Farm,,Yes,Yes,Yes,,,Heat Stress & Dehydration,Stress & Recovery · Vitamin & Nutrient Deficiency,Heat stress · Dehydration · Electrolyte loss,Electrolyte replenishment · Rehydration · Heat-stress support,Vitamin-C/antioxidant support · Energy · Acid-base balance · Recovery,Heat Stress (mapped to current E-Hydrolyte + C Pro page),https://xvetgermany.com/product/e-hydrolyte-c-pro,,,Medium,Current website page is E-Hydrolyte + C Pro; confirm naming/formulation equivalence.
NovoVital,Growth,LIQUID,Health,,Yes,Yes,Yes,,,Gut Health & Digestion,Pathogen Pressure · Antibiotic Reduction / NAGP · Growth & Feed Efficiency · Mortality & Livability,Intestinal microbial pressure · Poor gut performance,Gut microbial-balance support · Intestinal protection · NAGP,Digestion · Nutrient absorption · FCR · Weight gain,NAGP,https://xvetgermany.com/product/novovital,antibiotic-reduction · fcr-weight-gain · gut-health · mortality · water-quality,broiler,High,
Aromax,Growth,LIQUID,Health,6,Yes,Yes,,,,Respiratory Challenges,Feed Intake & Appetite · Stress & Recovery · Heat Stress & Dehydration,Respiratory stress · Difficult breathing · Respiratory discomfort,Respiratory support · Easier breathing · Airway comfort,Feed intake · FCR · Heat-stress support · Recovery,Respiratory System Support,https://xvetgermany.com/product/aromax,carcass-quality · fcr-weight-gain · gut-health · heat-stress · mortality · respiratory-pressure · vaccine-reaction,broiler,High,
Toxi-Guard Protect Se,Growth,POWDER,Feed,,Yes,Yes,Yes,,,Mycotoxin Pressure,Feed Preservation & Mould · Growth & Feed Efficiency,Mycotoxin pressure · Feed contamination · Toxin exposure,Mycotoxin adsorption · Toxin binding · Feed-safety support,Feed quality · Moisture adsorption · Performance support,Feed Quality (mapped to current Toxi-Guard page),https://xvetgermany.com/product/toxi-guard,,,Medium,Merged name differs from current website product name Toxi-Guard; confirm whether Protect Se is the exact commercial variant to keep.
Cal D Phos,Entry,LIQUID,Farm,2,Yes,,,,,Mineral Deficiency & Calcium Balance,Leg Problems & Lameness · Eggshell & Egg Quality · Egg Production & Performance,Weak bones · Poor eggshell · Calcium/phosphorus imbalance,Bone strength · Eggshell quality · Calcium & phosphorus support,Layer performance · Leg health · Flock uniformity,Strong Bones · Eggshell Quality,https://xvetgermany.com/product/cal-d-phos,egg-performance · eggshell-quality · mortality,layer,High,
Renal Cleaner,Entry,LIQUID,Health,1,Yes,Yes,Yes,,,Kidney & Renal Health,Stress & Recovery · Mycotoxin Pressure,Kidney stress · Renal pressure · Post-treatment stress,Kidney support · Renal recovery · Toxin-pressure support,Electrolyte balance · Energy · General recovery,Kidney Support,https://xvetgermany.com/product/renal-cleaner,antibiotic-reduction · fcr-weight-gain · liver-kidney-stress,broiler,High,
Turbo Fluid,Entry,LIQUID,Farm,0,Yes,Yes,,,,Vitamin & Nutrient Deficiency,Stress & Recovery · Heat Stress & Dehydration · Growth & Feed Efficiency · Feed Intake & Appetite · Reproductive Performance,Nutritional deficiency · Stress · Recovery periods,Vitamin/mineral/amino-acid supplementation · Stress recovery,Appetite · Growth · Heat stress · Metabolism,Vitamin/Mineral/Amino Acids · Heat Stress,https://xvetgermany.com/product/turbo-fluid,fcr-weight-gain · heat-stress · mortality,broiler,High,
Mould Guard Diamond,Entry,POWDER,Feed,0,Yes,Yes,Yes,,,Feed Preservation & Mould,Mycotoxin Pressure,Mould growth · Feed spoilage · Feed-hygiene problems,Mould control · Feed preservation · Antifungal support,Bacterial control · Toxin-source reduction · Anti-caking,Feed Quality,https://xvetgermany.com/product/mould-guard-diamond,feed-storage-mould · mycotoxins,aquaculture · broiler · layer · ruminant · swine,High,
Vitamin E+Se,Entry,LIQUID,Farm,,Yes,,,,,Reproductive Performance,Vitamin & Nutrient Deficiency · Immunity Support · Egg Production & Performance,Reproductive stress · Oxidative stress · Vitamin E/selenium deficiency,Antioxidant support · Vitamin E + selenium supplementation · Fertility support,Egg quality · Laying performance · General broiler support,Vitamin/Mineral/Amino Acids,https://xvetgermany.com/product/vitamin-e-se,,,High,
Hepatisafe,Entry,LIQUID,Health,,Yes,Yes,Yes,,,Liver & Metabolic Health,,,Liver Support,Hepatic Protection,,,,,Medium,No current XVET website product page verified in this review; mapping relies on merged Core Benefit (Liver Support).
