slug-id,Product name,Positioning,FORM,Category,#of trials,Poultry ,Ruminants,Swine,Main Challenge,Challenges,Core Benefit,Non-Focus Benefits,Tagline,Elevator,Description,Website benefits,Packaging,Website slug
42-degree,42 Degree,Growth,LIQUID,Health,3,TRUE,FALSE,TRUE,Stress & Recovery,Heat stress · High body temperature · Dehydration,Anti-Inflamatory · Hydration · Temperature-stress recovery,Electrolyte support · Appetite · Metabolism · Post-vaccination recovery,Problem solved,"42 Degree is a liquid botanical of plant extracts rich in salicylate phenolics plus electrolytes, special for pairing temperature-modulating phenolics with rehydration in one water formula.","42 Degree is a botanical support in cases of infections, elevated body temperatures and stress. The natural plant extracts in this formula are rich in phenolic compounds such as salicylates, that helps to regulate body temperatures and to relieve pain or discomfort, improving general well-being and motility of animals. 42 Degree provides electrolytes to support proper hydration of animals.","Helps to fight causes and symptoms of dehydration and increased body temperatures · Supply of additional electrolytes · Helps to suppress negative vaccination reactions · Supports in case of pain and discomfort · Helps to stimulate the appetite, metabolism and digestion · Helping to reduce inflammation","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",42-degree
novosol,Novosol,Growth,LIQUID,Health,2,TRUE,FALSE,TRUE,Gut Health & Digestion,Gut damage · Poor intestinal integrity · Poor performance,Gut protection · Intestinal mucosa support · NAGP,Nutrient absorption · FCR · Weight gain · Antioxidant support,One step forward,Novosol is a liquid of fatty acids and essential oils aimed at the intestinal mucosa; the fatty acids stay active through the whole gut without depending on pH or being buffered.,"Novosol® is a combination of fatty acids and essential oils targeting intestinal mucosa. Fatty acids provide the benefits of organic acids without the dependency on pH for activity. They maintain the action through the entire intestinal tract, without being degraded or buffered. Together with the great antioxidant synergy from essential oils, Novosol® is a perfect tool for intensive production with increased pressure, especially in the peak or in the final period of fattening, laying or lactation.","Quick protection of digestive tract from the beginning · Decreased incidence of complications from opportunistic harmful factors · Promotion of a healthy intestinal mucosa, for supporting body own resistance and absorption of nutrients · Better FCR, weight gain, and liveability",1 l bottle 5 l and 25 l canister,novosol
metavolin-herbal,Metavolin Herbal,Growth,LIQUID,Health,,TRUE,TRUE,FALSE,Liver & Metabolic Health,Liver stress · Fatty liver pressure · Metabolic overload,Liver support · Detoxification · Fat metabolism,Antioxidant support · Recovery · General metabolism,Prepare for the long run,"Metavolin Herbal is a liquid of hepatic factors plus two botanical extracts, special for combining antioxidant botanicals with liver detoxification and fat mobilisation.",Metavolin Herbal® is a balanced formulation designed to support the liver for its perfect function. The combination of hepatic factors together with two botanical extracts offer high anti-oxidant effect and promotion of liver detoxification and helping to prevent fatty liver condition.,Improving liver metabolism · Helping liver on fat mobilization · Quick recovery from hepatic conditions · Long-term hepatic protection · Supports enhanced performance,"250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",metavolin-herbal
e-hydrolyte-c,Nostress,Growth,WSP,Farm,,TRUE,TRUE,TRUE,Heat Stress & Dehydration,Heat stress · Dehydration · Electrolyte loss,Electrolyte replenishment · Rehydration · Heat-stress support,Vitamin-C/antioxidant support · Energy · Acid-base balance · Recovery,Back to hydration,"Nostress is a water-soluble powder of vitamin C, a balanced electrolyte mix and a fast energy source, special because the energy fraction drives intestinal water and sodium uptake while the salts buffer blood pH.","Vitamin C supports the immune system and acts as an antistress agent. Electrolytes are important for reducing the effects of heat stress in hot conditions, increasing heat resistance, and maintaining an optimal blood pH level. They also help reduce stress due to transport, new housing, climatic changes, and high production yields. In addition, a quick source of energy helps prevent dehydration and aids in the animal’s recovery from it. The energy source in this formula provides fast, available energy that promotes the absorption of water and sodium at the intestinal level. The balanced mixture of electrolytes provides an effective blood buffer.",Vitamin C is a support to the immune system. · Provides a fast absorbing source of energy · Provides all electrolytes needed to avoid dehydration · Supports the blood pH balance · Replaces electrolytes loss caused by stress · Reduces the effects of the heat stress,1 kg and 20 kg aluminum bags 5 kg and 10 kg buckets,e-hydrolyte-c-pro
novovital,NovoVital,Growth,LIQUID,Health,,TRUE,TRUE,TRUE,Gut Health & Digestion,Intestinal microbial pressure · Poor gut performance,Gut microbial-balance support · Intestinal protection · NAGP,Digestion · Nutrient absorption · FCR · Weight gain,"New game, new rules","NovoVital is a liquid blend of C4, C8, C10 and C12 fatty-acid monoglycerides; the chain mix acts on viral envelopes and bacterial or protozoal membranes independently of gut pH.","NovoVital is a combination of monoglycerides of fatty acids C4, C8, C10 and C12. Fatty acids can interfere with the envelope of some virus, cell membrane of bacteria and certain protozoa that are opportunistic in the gut, helping therefore to decrease attachment, colonization and multiplication of disease-causing agents. The promotion of a healthy gut flora results in better villi growth, with higher feed efficiency and growth","Quick protection of the digestive channel starting from the crop · Decreased incidence of complications from bacterial and viral diseases · Promotion of a healthy mucosa, increased digestion and absorption · Better performance and FCR, reduced mortality",1 l bottle 5 l and 25 l canister,novovital
aromax,Aromax,Growth,LIQUID,Health,6,TRUE,TRUE,FALSE,Respiratory Challenges,Respiratory stress · Difficult breathing · Respiratory discomfort,Respiratory support · Easier breathing · Airway comfort,Feed intake · FCR · Heat-stress support · Recovery,A puff of fresh and healthy air,"Aromax is a liquid of eucalyptus, thyme and peppermint essential oils plus L-Menthol, special for cooling, decongestant menthol on top of the respiratory oil synergy.","Aromax® is a rich synergic combination of essential oils from eucalyptus, thyme and peppermint. These oils are known to alleviate respiratory tract disturbances and to have appetizing, bioactive and insect repellent effects. Due to the essential oils inside the product, Aromax® would enhance the immunity and therefore, is a great support in severe vaccine reactions. Added L-Menthol has anti-pruritic, decongestant and cooling properties.",Relieves respiratory problems · Helps to decrease respiratory reactions after vaccinations · Gives extra comfort to livestock in cases of heat stress · Improves oxygen intake and helps to support thermoregulation · Enhances water and feed intake · Helps to improve weight gain and feed conversion ratio,"250 ml, 500 ml, and 1 l bottle, 5 l and 25 l canister",aromax
toxi-guard-protect-se,Toxi-Guard Protect Se,Growth,POWDER,Feed,,TRUE,TRUE,TRUE,Mycotoxin Challenges,Mycotoxin pressure · Feed contamination · Toxin exposure,Mycotoxin adsorption · Toxin binding · Feed-safety support,Feed quality · Moisture adsorption · Performance support,When absorption safeguards your animals,"Toxi-Guard Protect Se is a feed powder of processed diatomaceous earth with high porosity and surface area, special for physically trapping mycotoxins in a humidity-formed absorption network.",Animal feed generally contains many different microorganism. Toxi-Guard is enriched by processed Diatomaceous earth (DE) with high capacity of absorption. This characteristic may support dissolving mycotoxins in a network structured formed (absorption) by help of humidity. DE is very light with high porosity and high potential of water absorption. The Toxi-Guard DE has high surface area which help the product for the utmost effectivity.,Binding effect · Improving feed quality · Protecting animal in feed hygiene stress situation · Improving animal performance,25 kg and 10 kg craft bag,toxi-guard
cal-d-phos,Cal D Phos,Entry,LIQUID,Farm,2,TRUE,FALSE,FALSE,"Bone, Leg & Mineral Health",Weak bones · Poor eggshell · Calcium/phosphorus imbalance,Bone strength · Eggshell quality · Calcium & phosphorus support,Layer performance · Leg health · Flock uniformity,Legs & Eggs,"Cal D Phos is a liquid of calcium, phosphorus and vitamin D3, special because D3 drives mineral absorption and mobilisation while the acid liquid also lowers drinking-water pH.","Cal D Phos® supports an optimum Calcium and Phosphorus balance and provides as well Vitamin D3, necessary for the absorption, metabolism and mobilization of minerals. Deficiencies are avoided efficiently and quickly, maintaining health and performance. Cal D Phos® will also provide the benefit of lowering the pH of drinking water.","Supports skeletal integrity · Helps to reduce leg problems · Improves flock uniformity · Support of laying performance · Helps to prevent losses from cage fatigue, uterus prolapse and breast blisters · Quick solution to egg shell problems","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",cal-d-phos
renal-cleaner,Renal Cleaner,Entry,LIQUID,Health,1,TRUE,TRUE,TRUE,Kidney & Renal Health,Kidney stress · Renal pressure · Post-treatment stress,Kidney support · Renal recovery · Toxin-pressure support,Electrolyte balance · Energy · General recovery,A Good Plumber,"Renal Cleaner is a liquid nutraceutical for kidney pressure that also supplies energy and electrolytes, special as targeted renal support after high-protein diets, mycotoxins or nephrotoxic medication.","Renal Cleaner is especially designed to help animals cope with negative consequences of renal disorders. Use Renal Cleaner as a preventive solution in case of high protein diets, at first symptoms of renal problems in livestock such as high risk of mycotoxin contamination of feedstuffs or after repetitive use of antibiotics and other kidney-damaging medications. Renal Cleaner is a nutraceutical support that can be used in cases of conditions related with disease causing agents that may affect kidney functions.",Quick and specific problem solver · Replenishes energy and electrolytes · Support of kidney activities · Cost-efficient solution,"250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",renal-cleaner
turbo-fluid,Turbo Fluid,Entry,LIQUID,Farm,0,TRUE,TRUE,FALSE,Stress & Recovery,Nutritional deficiency · Stress · Recovery periods,Vitamin/mineral/amino-acid supplementation · Stress recovery,Appetite · Growth · Heat stress · Metabolism,All-in-one formula,"Turbo Fluid is a liquid vitamin- and amino-acid-rich composition, special as an all-in-one farm mix for cell formation, metabolism and stress periods when appetite must stay up.","Turbo Fluid is a vitamin, amino acid rich composition designed to promote resistance to infections and provide health, growth and fertility. Livestock treated with Turbo Fluid are less sensitive to stress (e.g. due to heat or overcrowded housing) and the appetite remains unaffected, keeping up the production parameters.","Prevention of nutritional deficiencies and of their consequences · Provides necessary elements for cell formation and metabolism · Helps to maintain production parameters, appetite and growth in case of diseases · Replaces losses caused by stress factors","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",turbo-fluid
