trial_id,product_ids,display_product,historical_product_name,species_tags,challenge_tags,country,year,sample_size,duration,dosage,comparator,evidence_type,evidence_strength,headline,customer_facing_summary,result_index,result_metric,control_value,treatment_value,unit,effect_or_note,source_pdf_pages,source_document
42degree-aromax-broiler-thailand-2024,42-degree|aromax,42 Degree + Aromax,,broiler,heat-stress|mortality|respiratory-pressure,Thailand,2024,290000,Day 31-39,"42 Degree 1 L/1,000 L water; Aromax 100 mL/1,000 L water",,field-trial,5,"290,000-broiler heat-stress field trial","In a 290,000-broiler field trial in Thailand, 42 Degree + Aromax supported thermoregulation and reduced mortality under temperatures as high as 42°C.",1,Body temperature,41.3,40.6,°C,,4|5,Science in the Field Booklet.pdf
42degree-aromax-broiler-thailand-2024,42-degree|aromax,42 Degree + Aromax,,broiler,heat-stress|mortality|respiratory-pressure,Thailand,2024,290000,Day 31-39,"42 Degree 1 L/1,000 L water; Aromax 100 mL/1,000 L water",,field-trial,5,"290,000-broiler heat-stress field trial","In a 290,000-broiler field trial in Thailand, 42 Degree + Aromax supported thermoregulation and reduced mortality under temperatures as high as 42°C.",2,Control body temperature,40.9,40.8,°C,,4|5,Science in the Field Booklet.pdf
42degree-aromax-broiler-thailand-2024,42-degree|aromax,42 Degree + Aromax,,broiler,heat-stress|mortality|respiratory-pressure,Thailand,2024,290000,Day 31-39,"42 Degree 1 L/1,000 L water; Aromax 100 mL/1,000 L water",,field-trial,5,"290,000-broiler heat-stress field trial","In a 290,000-broiler field trial in Thailand, 42 Degree + Aromax supported thermoregulation and reduced mortality under temperatures as high as 42°C.",3,Trial-period mortality,6.32,4.76,%,-24%,4|5,Science in the Field Booklet.pdf
42degree-aromax-broiler-thailand-2024,42-degree|aromax,42 Degree + Aromax,,broiler,heat-stress|mortality|respiratory-pressure,Thailand,2024,290000,Day 31-39,"42 Degree 1 L/1,000 L water; Aromax 100 mL/1,000 L water",,field-trial,5,"290,000-broiler heat-stress field trial","In a 290,000-broiler field trial in Thailand, 42 Degree + Aromax supported thermoregulation and reduced mortality under temperatures as high as 42°C.",4,Overall mortality,4.13,3.74,%,-9%,4|5,Science in the Field Booklet.pdf
42degree-nursery-pigs-thailand-2019,42-degree,42 Degree,,swine,heat-stress|vaccine-reaction|fcr-weight-gain|calf-piglet-start,Thailand,2019,60,71 days,1 mL/pig/day,,controlled-trial,4,Nursery-pig setback and growth trial,42 Degree supported growth during the post-weaning setback period and reduced adverse inflammatory responses associated with stress and vaccination.,1,Final body weight,28.3,31.3,kg,,6|7,Science in the Field Booklet.pdf
42degree-nursery-pigs-thailand-2019,42-degree,42 Degree,,swine,heat-stress|vaccine-reaction|fcr-weight-gain|calf-piglet-start,Thailand,2019,60,71 days,1 mL/pig/day,,controlled-trial,4,Nursery-pig setback and growth trial,42 Degree supported growth during the post-weaning setback period and reduced adverse inflammatory responses associated with stress and vaccination.,2,ADG day 71,856.4,993.33,g/day,,6|7,Science in the Field Booklet.pdf
42degree-nursery-pigs-thailand-2019,42-degree,42 Degree,,swine,heat-stress|vaccine-reaction|fcr-weight-gain|calf-piglet-start,Thailand,2019,60,71 days,1 mL/pig/day,,controlled-trial,4,Nursery-pig setback and growth trial,42 Degree supported growth during the post-weaning setback period and reduced adverse inflammatory responses associated with stress and vaccination.,3,Inflammatory markers,,,,Lower adverse IL-6/PGE2 response reported,6|7,Science in the Field Booklet.pdf
42degree-sow-thailand-2021,42-degree,42 Degree,,swine,heat-stress|calf-piglet-start|antibiotic-reduction,Thailand,2021,10,5 days postpartum,5 mL/sow/day for 5 days,,field-trial,3,Farrowing-sow wellbeing trial,Sows receiving 42 Degree showed lower day-5 body temperature and lower application cost than the Tolfenamic Acid comparison.,1,Day-5 temperature advantage,,-0.5,°C vs comparator,,8|9,Science in the Field Booklet.pdf
42degree-sow-thailand-2021,42-degree,42 Degree,,swine,heat-stress|calf-piglet-start|antibiotic-reduction,Thailand,2021,10,5 days postpartum,5 mL/sow/day for 5 days,,field-trial,3,Farrowing-sow wellbeing trial,Sows receiving 42 Degree showed lower day-5 body temperature and lower application cost than the Tolfenamic Acid comparison.,2,Application cost reduction,,,%,-81%,8|9,Science in the Field Booklet.pdf
42degree-sow-thailand-2021,42-degree,42 Degree,,swine,heat-stress|calf-piglet-start|antibiotic-reduction,Thailand,2021,10,5 days postpartum,5 mL/sow/day for 5 days,,field-trial,3,Farrowing-sow wellbeing trial,Sows receiving 42 Degree showed lower day-5 body temperature and lower application cost than the Tolfenamic Acid comparison.,3,Saving,,1.9,EUR/sow,,8|9,Science in the Field Booklet.pdf
aromax-broiler-bangladesh-2016,aromax,Aromax,,broiler,respiratory-pressure|mortality|fcr-weight-gain,Bangladesh,2016,,42 days,1 mL/10 L water,,field-trial,4,Broiler performance and respiratory trial,"Aromax improved weight gain and FCR, reduced mortality, and respiratory distress improved in the treated flock.",1,ADWG,0.782,0.791,kg,+1.15%,10|11,Science in the Field Booklet.pdf
aromax-broiler-bangladesh-2016,aromax,Aromax,,broiler,respiratory-pressure|mortality|fcr-weight-gain,Bangladesh,2016,,42 days,1 mL/10 L water,,field-trial,4,Broiler performance and respiratory trial,"Aromax improved weight gain and FCR, reduced mortality, and respiratory distress improved in the treated flock.",2,FCR,1.739,1.615,ratio,-7.13%,10|11,Science in the Field Booklet.pdf
aromax-broiler-bangladesh-2016,aromax,Aromax,,broiler,respiratory-pressure|mortality|fcr-weight-gain,Bangladesh,2016,,42 days,1 mL/10 L water,,field-trial,4,Broiler performance and respiratory trial,"Aromax improved weight gain and FCR, reduced mortality, and respiratory distress improved in the treated flock.",3,Feed consumption,,,%,+2.5%,10|11,Science in the Field Booklet.pdf
aromax-broiler-bangladesh-2016,aromax,Aromax,,broiler,respiratory-pressure|mortality|fcr-weight-gain,Bangladesh,2016,,42 days,1 mL/10 L water,,field-trial,4,Broiler performance and respiratory trial,"Aromax improved weight gain and FCR, reduced mortality, and respiratory distress improved in the treated flock.",4,Mortality,,,%,-15%,10|11,Science in the Field Booklet.pdf
aromax-broiler-brazil-2023,aromax,Aromax,,broiler,fcr-weight-gain|carcass-quality|mortality,Brazil,2023,41200,49 days,"100 mL/1,000 L water",,field-trial,5,"41,200-broiler ROI and carcass trial","Aromax improved FCR and final weight, reduced carcass condemnation, and generated positive ROI.",1,Average weight,3.08,3.15,kg,,12|13,Science in the Field Booklet.pdf
aromax-broiler-brazil-2023,aromax,Aromax,,broiler,fcr-weight-gain|carcass-quality|mortality,Brazil,2023,41200,49 days,"100 mL/1,000 L water",,field-trial,5,"41,200-broiler ROI and carcass trial","Aromax improved FCR and final weight, reduced carcass condemnation, and generated positive ROI.",2,FCR,1.99,1.81,ratio,-9%,12|13,Science in the Field Booklet.pdf
aromax-broiler-brazil-2023,aromax,Aromax,,broiler,fcr-weight-gain|carcass-quality|mortality,Brazil,2023,41200,49 days,"100 mL/1,000 L water",,field-trial,5,"41,200-broiler ROI and carcass trial","Aromax improved FCR and final weight, reduced carcass condemnation, and generated positive ROI.",3,Feed consumption,117128,108772,kg,-7%,12|13,Science in the Field Booklet.pdf
aromax-broiler-brazil-2023,aromax,Aromax,,broiler,fcr-weight-gain|carcass-quality|mortality,Brazil,2023,41200,49 days,"100 mL/1,000 L water",,field-trial,5,"41,200-broiler ROI and carcass trial","Aromax improved FCR and final weight, reduced carcass condemnation, and generated positive ROI.",4,Carcass condemnation,2072,1409,broilers,-32%,12|13,Science in the Field Booklet.pdf
aromax-broiler-brazil-2023,aromax,Aromax,,broiler,fcr-weight-gain|carcass-quality|mortality,Brazil,2023,41200,49 days,"100 mL/1,000 L water",,field-trial,5,"41,200-broiler ROI and carcass trial","Aromax improved FCR and final weight, reduced carcass condemnation, and generated positive ROI.",5,ROI,,235,%,,12|13,Science in the Field Booklet.pdf
